review_id,place_name,review_text,rating,sentiment_label
70,Ella Rock,"Amazing experience at Ella Rock, highly recommended for travelers.",4,positive
71,Diyaluma Falls,"Decent attraction, Diyaluma Falls is worth seeing once.",3,neutral
72,Diyaluma Falls,"Loved visiting Diyaluma Falls, the views were fantastic.",4,positive
73,Diyaluma Falls,Diyaluma Falls was interesting though a bit busy.,3,neutral
74,Diyaluma Falls,Diyaluma Falls was nice but quite crowded when I visited.,3,neutral
75,Diyaluma Falls,Beautiful location and great atmosphere at Diyaluma Falls.,5,positive
76,Diyaluma Falls,"Amazing experience at Diyaluma Falls, highly recommended for travelers.",4,positive
77,Diyaluma Falls,Diyaluma Falls had good views but the facilities could improve.,3,neutral
78,Diyaluma Falls,Beautiful location and great atmosphere at Diyaluma Falls.,5,positive
79,Diyaluma Falls,Diyaluma Falls was one of the highlights of my Sri Lanka trip.,4,positive
80,Diyaluma Falls,Diyaluma Falls was too crowded and difficult to enjoy.,1,negative
81,Ravana Falls,Ravana Falls was interesting though a bit busy.,3,neutral
82,Ravana Falls,"Great place to visit, Ravana Falls exceeded my expectations.",5,positive
83,Ravana Falls,Ravana Falls was one of the highlights of my Sri Lanka trip.,4,positive
84,Ravana Falls,"Loved visiting Ravana Falls, the views were fantastic.",5,positive
85,Ravana Falls,"Great place to visit, Ravana Falls exceeded my expectations.",4,positive
86,Ravana Falls,Ravana Falls was one of the highlights of my Sri Lanka trip.,5,positive
87,Ravana Falls,"Good place to stop by, but nothing extraordinary at Ravana Falls.",3,neutral
88,Ravana Falls,"I expected more from Ravana Falls, a bit disappointing.",1,negative
89,Ravana Falls,Beautiful location and great atmosphere at Ravana Falls.,5,positive
90,Ravana Falls,"Great place to visit, Ravana Falls exceeded my expectations.",4,positive
91,Flying Ravana Zip Line,Flying Ravana Zip Line had great scenery but the crowd ruined the experience.,2,negative
92,Flying Ravana Zip Line,"Great place to visit, Flying Ravana Zip Line exceeded my expectations.",5,positive
93,Flying Ravana Zip Line,Flying Ravana Zip Line was one of the highlights of my Sri Lanka trip.,4,positive
94,Flying Ravana Zip Line,"Loved visiting Flying Ravana Zip Line, the views were fantastic.",5,positive
95,Flying Ravana Zip Line,"Great place to visit, Flying Ravana Zip Line exceeded my expectations.",5,positive
96,Flying Ravana Zip Line,"I expected more from Flying Ravana Zip Line, a bit disappointing.",2,negative
97,Flying Ravana Zip Line,"Loved visiting Flying Ravana Zip Line, the views were fantastic.",5,positive
98,Flying Ravana Zip Line,"Amazing experience at Flying Ravana Zip Line, highly recommended for travelers.",4,positive
99,Flying Ravana Zip Line,"Loved visiting Flying Ravana Zip Line, the views were fantastic.",4,positive
100,Flying Ravana Zip Line,"Great place to visit, Flying Ravana Zip Line exceeded my expectations.",5,positive
